hidden_layers,dropout,optimizer,output_activation,intermediate_activation,loss_type,loss,accuracy,recall,precision,f1_score
"[32, 8, 8, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.28089400231838224,0.9094969034194946,0.7986210346221924,0.7063863158226014,0.7496773125189231
"[32, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2154264122247696,0.9329710245132447,0.8461695551872254,0.7801974892616272,0.8118454245709992
"[32, 16, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.25285974740982053,0.9284355878829956,0.7987231731414794,0.7812995076179504,0.7899152208407303
"[16, 16, 4, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.27484890520572663,0.9151758670806884,0.8370786428451538,0.7113942623138427,0.7691357119452732
"[16, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2553484559059143,0.9125279307365417,0.85748211145401,0.6978644847869873,0.7694828598281718
"[32, 16, 8, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2364313006401062,0.9265359282493592,0.8213483095169067,0.7664955735206604,0.7929744361395378
"[64, 16, 8, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2393537700176239,0.9295712351799011,0.8234933495521546,0.7749321579933166,0.7984750437545052
"[16, 8, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2912860900163651,0.900408148765564,0.8098825216293335,0.6748645305633545,0.73623443151742
"[16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.28844704031944274,0.8936007142066955,0.8123084783554078,0.6476172685623169,0.7206735863923477
"[64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.19909886717796327,0.9462328791618347,0.8575587272644043,0.8282456994056702,0.8426473136212527
"[32, 8, 8, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2836854696273804,0.9095005035400391,0.8257150053977966,0.6953038573265076,0.7549186990767714
"[32, 16, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2404419004917145,0.916318666934967,0.832584273815155,0.722311818599701,0.7735377627016307
"[32, 16, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2370440423488617,0.9261642932891846,0.8394024491310119,0.7513911604881287,0.7929621252024337
"[16, 16, 4, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.31057600378990174,0.8875515580177307,0.805362606048584,0.634088671207428,0.7095360257085962
"[16, 16, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.28198891282081606,0.9007883667945862,0.8371297121047974,0.6691634178161621,0.7437815800803943
"[32, 16, 8, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.26067520678043365,0.9136592864990234,0.8392747640609741,0.7085036993026733,0.7683647895682498
"[64, 16, 8, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.25946831703186035,0.9170755386352539,0.8167517781257629,0.7322009921073913,0.7721687002124762
"[16, 8, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.3076878607273102,0.8882962465286255,0.8189479112625122,0.634908401966095,0.7152795900641585
"[16, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2833225667476654,0.892849576473236,0.8121297240257264,0.6464466333389283,0.7198779649569652
"[16, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.28082720935344696,0.891710352897644,0.8211695671081543,0.6449639797210693,0.7224781904068722
"[64, 32, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.20511271059513092,0.938278341293335,0.8619509696960449,0.7915756344795227,0.8252656385946598
