hidden_layers,dropout,optimizer,output_activation,intermediate_activation,loss_type,loss,accuracy,recall,precision,f1_score
"[64, 40, 32, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.19542044401168823,0.9454738736152649,0.8530643463134766,0.8277064204216004,0.8401940448289712
"[64, 40, 32, 20, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.20597939789295197,0.9466181039810181,0.8418794631958008,0.8411532044410706,0.8415161271216146
"[64, 64, 32, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.20838635563850402,0.9439587235450745,0.8596782445907593,0.8171645998954773,0.8378824398430357
"[64, 32, 16, 8, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2288353830575943,0.9363872647285462,0.8213483095169067,0.8044686555862427,0.8128208080817237
"[64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.18929884433746338,0.9481253862380982,0.8687691450119018,0.8322774171829224,0.8501318114410528
"[64, 40, 32, 20, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.23431997001171112,0.9310820817947387,0.8507150053977967,0.7730833053588867,0.8100433698353708
"[64, 64, 32, 32, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.19994585812091828,0.9496448278427124,0.8846271753311157,0.8285749197006226,0.8556840434720417
"[64, 64, 32, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2041306048631668,0.9420626401901245,0.8530643463134766,0.8122155904769898,0.8321389153157166
"[64, 64, 40, 32, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.21508739292621612,0.9356268286705017,0.8688968300819397,0.7764746308326721,0.8200899558450143
"[64, 32, 8, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.19166678190231323,0.9450922250747681,0.8416241049766541,0.8356117010116577,0.8386070766324948
"[64, 64, 8, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.21179335117340087,0.9435813665390015,0.8124361634254456,0.8486564874649047,0.8301513812188261
"[64, 64, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.20037944614887238,0.9450965166091919,0.8507916092872619,0.8271617650985718,0.8388102530991695
"[64, 64, 40, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.22342622578144072,0.9363972902297973,0.8643769145011901,0.7837250590324402,0.8220775390340536
"[64, 64, 40, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.20160199999809264,0.9409327149391175,0.848544430732727,0.8117666244506836,0.8297481421863245
