dropout_rate,optimizer_name,learning_rate,patience,min_delta,f1_score,recall
0.05,nadam,0.003,200,0.0001,0.868020304568528,0.9047619047619048
0.05,nadam,0.003,200,0.0005,0.868020304568528,0.9047619047619048
0.05,nadam,0.003,200,0.001,0.8730964467005076,0.91005291005291
0.05,nadam,0.005,200,0.0001,0.8816120906801007,0.9259259259259259
0.05,nadam,0.005,200,0.0005,0.8816120906801007,0.9259259259259259
0.05,nadam,0.005,200,0.001,0.8816120906801007,0.9259259259259259
0.05,nadam,0.007,200,0.0001,0.871536523929471,0.9153439153439153
0.05,nadam,0.007,200,0.0005,0.871536523929471,0.9153439153439153
0.05,nadam,0.007,200,0.001,0.871536523929471,0.9153439153439153
0.05,adam,0.003,200,0.0001,0.9104859335038363,0.9417989417989417
0.05,adam,0.003,200,0.0005,0.9104859335038363,0.9417989417989417
0.05,adam,0.003,200,0.001,0.8974358974358975,0.9259259259259259
0.05,adam,0.005,200,0.0001,0.8883248730964467,0.9259259259259259
0.05,adam,0.005,200,0.0005,0.8883248730964467,0.9259259259259259
0.05,adam,0.005,200,0.001,0.8860759493670886,0.9259259259259259
0.05,adam,0.007,200,0.0001,0.8946015424164524,0.9206349206349206
0.05,adam,0.007,200,0.0005,0.8946015424164524,0.9206349206349206
0.05,adam,0.007,200,0.001,0.8706467661691543,0.9259259259259259
0.07,nadam,0.003,200,0.0001,0.8838383838383839,0.9259259259259259
0.07,nadam,0.003,200,0.0005,0.8816120906801007,0.9259259259259259
0.07,nadam,0.003,200,0.001,0.8838383838383839,0.9259259259259259
0.07,nadam,0.005,200,0.0001,0.9038961038961039,0.9206349206349206
0.07,nadam,0.005,200,0.0005,0.9038961038961039,0.9206349206349206
0.07,nadam,0.005,200,0.001,0.9038961038961039,0.9206349206349206
0.07,nadam,0.007,200,0.0001,0.88,0.9312169312169312
0.07,nadam,0.007,200,0.0005,0.88,0.9312169312169312
0.07,nadam,0.007,200,0.001,0.88,0.9312169312169312
0.07,adam,0.003,200,0.0001,0.8911392405063291,0.9312169312169312
0.07,adam,0.003,200,0.0005,0.8911392405063291,0.9312169312169312
0.07,adam,0.003,200,0.001,0.8911392405063291,0.9312169312169312
0.07,adam,0.005,200,0.0001,0.8987012987012987,0.9153439153439153
0.07,adam,0.005,200,0.0005,0.8987012987012987,0.9153439153439153
0.07,adam,0.005,200,0.001,0.8865979381443299,0.91005291005291
0.07,adam,0.007,200,0.0001,0.85785536159601,0.91005291005291
0.07,adam,0.007,200,0.0005,0.85785536159601,0.91005291005291
0.07,adam,0.007,200,0.001,0.85785536159601,0.91005291005291
0.1,nadam,0.003,200,0.0001,0.8719211822660099,0.9365079365079365
0.1,nadam,0.003,200,0.0005,0.8719211822660099,0.9365079365079365
0.1,nadam,0.003,200,0.001,0.8719211822660099,0.9365079365079365
0.1,nadam,0.005,200,0.0001,0.8746928746928747,0.9417989417989417
0.1,nadam,0.005,200,0.0005,0.8746928746928747,0.9417989417989417
0.1,nadam,0.005,200,0.001,0.8682926829268293,0.9417989417989417
0.1,nadam,0.007,200,0.0001,0.8822055137844611,0.9312169312169312
0.1,nadam,0.007,200,0.0005,0.8822055137844611,0.9312169312169312
0.1,nadam,0.007,200,0.001,0.8822055137844611,0.9312169312169312
0.1,adam,0.003,200,0.0001,0.9035532994923858,0.9417989417989417
0.1,adam,0.003,200,0.0005,0.9035532994923858,0.9417989417989417
0.1,adam,0.003,200,0.001,0.9035532994923858,0.9417989417989417
0.1,adam,0.005,200,0.0001,0.8979591836734694,0.9312169312169312
0.1,adam,0.005,200,0.0005,0.8979591836734694,0.9312169312169312
0.1,adam,0.005,200,0.001,0.905852417302799,0.9417989417989417
0.1,adam,0.007,200,0.0001,0.8765743073047859,0.9206349206349206
0.1,adam,0.007,200,0.0005,0.8765743073047859,0.9206349206349206
0.1,adam,0.007,200,0.001,0.8765743073047859,0.9206349206349206
