hidden_layers,dropout,optimizer,output_activation,intermediate_activation,loss_type,loss,accuracy,recall,precision,f1_score
"[32, 16]",0.1,adam,sigmoid,relu,binary_crossentropy,0.2682484149932861,0.9095040678977966,0.8100612878799438,0.7007398843765259,0.7514452941373084
"[32, 16, 8]",0.1,adam,sigmoid,relu,binary_crossentropy,0.2965977907180786,0.8898213982582093,0.8101123571395874,0.6352018117904663,0.7120732813215098
"[32, 16, 4]",0.1,adam,sigmoid,relu,binary_crossentropy,0.26958179473876953,0.9079982161521911,0.812385082244873,0.7005558371543884,0.7523374726263589
"[32, 16]",0.1,adam,tanh,relu,binary_crossentropy,0.3406273424625397,0.8530961751937867,0.8190245151519775,0.5449375867843628,0.654442245057143
"[32, 16, 8]",0.1,adam,tanh,relu,binary_crossentropy,0.30033525824546814,0.8742997169494628,0.8166751742362977,0.5980753064155578,0.6904867356171065
"[32, 16, 4]",0.1,adam,tanh,relu,binary_crossentropy,0.792084938287735,0.8629446506500245,0.6350612759590148,0.474969869852066,0.5434711369227102
"[32, 16]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.23415468335151673,0.9185935497283936,0.841624093055725,0.7263204693794251,0.779732628267485
"[32, 16, 8]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.23414949476718902,0.9182190537452698,0.8506128787994385,0.719235622882843,0.7794268607302318
"[32, 16, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2552701562643051,0.9132833480834961,0.8234678268432617,0.7154482722282409,0.7656669470449603
"[32, 16]",0.1,adam,tanh,tanh,binary_crossentropy,0.4985210597515106,0.7410021901130677,0.8077374815940856,0.3762852430343628,0.5134017491005247
"[32, 16, 8]",0.1,adam,tanh,tanh,binary_crossentropy,0.48569196462631226,0.7379883289337158,0.8142492175102234,0.37805479764938354,0.5163629299741012
"[32, 16, 4]",0.1,adam,tanh,tanh,binary_crossentropy,0.507417368888855,0.7277488946914673,0.8323544502258301,0.37274796366691587,0.51490793985413
