hidden_layers,dropout,optimizer,output_activation,intermediate_activation,loss_type,loss,accuracy,recall,precision,f1_score
"[32, 16]",0.0,adam,sigmoid,tanh,binary_crossentropy,0.26331534087657926,0.9110177874565124,0.7738508701324462,0.7187940359115601,0.7453070058638905
"[32, 16, 8]",0.0,adam,sigmoid,tanh,binary_crossentropy,0.26623776853084563,0.9019261598587036,0.7601634383201599,0.6872155427932739,0.7218511538455059
"[32, 16, 4]",0.0,adam,sigmoid,tanh,binary_crossentropy,0.266512468457222,0.9144261717796326,0.7806690454483032,0.7302889227867126,0.7546390177714667
"[32, 16]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2162994086742401,0.926540219783783,0.8258426904678344,0.7607690811157226,0.7919713649265521
"[32, 16, 8]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.21510821282863618,0.931460165977478,0.8574310421943665,0.7659949660301208,0.8091379813487936
"[32, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.21485118865966796,0.9326008200645447,0.8235699653625488,0.7859843730926513,0.8043382782935758
"[32, 16]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.23905654549598693,0.914422583580017,0.8189223647117615,0.7139247179031372,0.7628274035955183
"[32, 16, 8]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2203080713748932,0.9227616548538208,0.8169049978256225,0.7471640110015869,0.7804795981685287
"[32, 16, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.20417109727859498,0.9360084772109986,0.8461695551872254,0.7922544240951538,0.8183248550953074
"[32, 16]",0.15,adam,sigmoid,tanh,binary_crossentropy,0.22923779487609863,0.918212616443634,0.8573799729347229,0.7150773167610168,0.7797896140249935
"[32, 16, 8]",0.15,adam,sigmoid,tanh,binary_crossentropy,0.25538998246192934,0.9083648443222045,0.8303370594978332,0.6944874167442322,0.7563606311997264
"[32, 16, 4]",0.15,adam,sigmoid,tanh,binary_crossentropy,0.24227284789085388,0.9148028016090393,0.8483656764030456,0.7087752938270568,0.7723136240655484
"[32, 16]",0.2,adam,sigmoid,tanh,binary_crossentropy,0.249073526263237,0.9041974544525146,0.8416751742362976,0.6776338696479798,0.7507986213342004
"[32, 16, 8]",0.2,adam,sigmoid,tanh,binary_crossentropy,0.29340462684631347,0.8845062136650086,0.8212461590766906,0.627978503704071,0.7117252580753954
"[32, 16, 4]",0.2,adam,sigmoid,tanh,binary_crossentropy,0.2937733054161072,0.8913286805152894,0.8506894826889038,0.6328372716903686,0.7257678008205507
