hidden_layers,dropout,optimizer,output_activation,intermediate_activation,loss_type,loss,accuracy,recall,precision,f1_score
"[64, 16, 16, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.21964661180973052,0.9310928344726562,0.8393513798713684,0.7730131983757019,0.8048175496139243
"[64, 32, 8, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.24256062507629395,0.9337328910827637,0.8121552467346191,0.798968243598938,0.8055077275342724
"[64, 16, 4, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.22623993456363678,0.9409319996833801,0.828013277053833,0.822686779499054,0.8253413844757831
"[64, 40, 32, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.1960531622171402,0.9447105765342713,0.8574565887451172,0.8236825227737427,0.8402302454755662
"[64, 32, 32, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2235210120677948,0.9348721146583557,0.8370786309242249,0.7886609077453614,0.812148731834072
"[64, 32, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.2132762163877487,0.9394082665443421,0.8573799729347229,0.7989328622817993,0.8271251419651374
"[64, 32, 8, 2]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.21906381845474243,0.9356318354606629,0.816853928565979,0.8043141484260559,0.8105354907250337
"[64, 40, 32, 16, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.22221330404281617,0.9344947576522827,0.8485188961029053,0.784864890575409,0.8154515248651196
"[64, 32, 8, 4]",0.05,adam,sigmoid,tanh,binary_crossentropy,0.1877096861600876,0.94169100522995,0.8553881406784057,0.8099157094955445,0.8320310448783355
"[64, 16, 16, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.22056815028190613,0.9394139885902405,0.8597548365592956,0.7972823858261109,0.8273409150866452
"[64, 32, 8, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2297203242778778,0.9352509021759033,0.8123084783554078,0.8051016569137573,0.8086889616352604
"[64, 16, 4, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.21768656373023987,0.9299478769302368,0.8326608777046204,0.7694111227989197,0.7997874011089556
"[64, 40, 32, 16, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.20919462144374848,0.9375243425369263,0.8575076460838318,0.7917280912399292,0.8233060142074995
"[64, 32, 32, 16, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.23124150335788726,0.9284363031387329,0.853013277053833,0.7527517318725586,0.7997523648298348
"[64, 32, 32, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.21225870847702027,0.9299514532089234,0.8688712835311889,0.7542717218399048,0.807525888404626
"[64, 32, 8, 2]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.22659096419811248,0.9310792207717895,0.8256894707679748,0.7773644208908081,0.8007985016337588
"[64, 40, 32, 16, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.21084888875484467,0.9371419668197631,0.8621552586555481,0.7888264656066895,0.8238623532919686
"[64, 32, 8, 4]",0.1,adam,sigmoid,tanh,binary_crossentropy,0.2027353197336197,0.9405503511428833,0.8552604675292969,0.8036787271499634,0.8286676265131463
